Nganh,TenCoPhieu,TileTB,GiaBanTB,Thang1,Thang2,Thang3,Thang4,Thang5,Thang6,Thang7,Thang8,Thang9,Thang10,Thang11,Thang12
Transp,AAWW,1.001129,43.349,0.9826,1.014,0.95575,1.010333,1.019111,0.9887778,0.9898,1.0206,1.001833,1.032571,0.99,1.008167
Transp,ABFS,1.022719,20.75845,1.038,1.0265,1.004,1.047615,1.0567,1.037714,0.9868182,1.059643,0.9965,0.9623846,1.056211,1.000546
Energy,ACI,0.9742312,4.763063,0.9991428,0.9292,0.9155,0.9275,0.9795,0.9506667,0.9955,1.045722,1.002286,0.9954286,0.9724286,0.9779
ETFs,ACTG,0.9953232,22.40256,1.030333,1.0676,1.01275,1.010143,0.981,0.9701667,0.968125,1.005583,0.9960769,0.9096,0.982,1.0105
Cons-Cyc,ACW,1.010411,4.721859,0.9804444,1.0285,1.088091,0.9886667,0.9782727,1.0506,0.9801667,1.011667,0.9697143,0.9813333,1.040667,1.026813
Util,AEE,1.000551,34.75678,1.011,1.017,1.004333,1.0134,0.9981428,1.0076,1.00475,0.9615715,0.999375,1.005444,0.987,0.997
Insurance,AEL,1.016713,18.02089,1.012,1.013143,1.010615,1.019812,1.002333,0.973,1.05,1.054,1.029,0.9956667,1.042818,0.9981667
Services,AER,1.014848,18.33414,1.014333,1.03775,0.983,1.025,0.973,1.0065,1.000625,1.006,0.989,1.019,0.98825,1.135714
Util,AES,0.9990892,12.87125,1.006333,1.024143,1.002889,1.0222,0.9757692,1.0058,0.9955555,0.964,0.9967143,1.004,0.999,0.9926667
Insurance,AF,1.004736,11.3518,1.004235,1.003111,0.9698333,1.0024,1.055,1.053,1.0095,1.0005,0.993,0.98225,1.014,0.97
Insurance,AFL,1.00747,58.07376,1.012364,1.005,1.009818,1.017,1.009389,1.006231,1.021611,0.9775,1.015222,1.0145,1.003067,0.9979375
Insurance,AGO,1.014937,21.03506,1.065,1.082,1.013,1.0255,1.0048,1.0162,0.995,0.971,0.9944,0.9875,1.035846,0.989
Services,AHT,1.000695,11.75715,1.014333,1.003909,0.9895,0.99825,1.013,0.9748,1.004562,0.9948462,1.003429,1.001,0.9978572,1.012857
BasicInd,AIN,1.008554,32.24214,1.017,1.0496,0.9996667,1.0224,1.019818,1.0175,0.99875,0.987,1.00525,0.9713333,1.013667,1.000667
Transp,AIR,0.9993241,23.28215,0.9984,0.981125,1.0016,1.0172,1.027667,0.986,1.007333,1.003714,1.0221,0.9765,0.999,0.97125
Services,AIV,1.003958,28.96634,1.004,1.0575,1.006,0.9983333,1.032889,0.9942,0.996,0.9858889,0.994,0.9903333,0.983647,1.0047
Insurance,AIZ,1.019483,51.79755,1.001,1.034125,1.029,1.007778,1.043,0.9958,1.023667,1.02,1.0184,1.0248,1.027375,1.008857
BasicInd,AKS,1.014597,4.128085,1.000875,1.0115,0.98975,1.003286,1.01325,0.9285,0.98,0.9875,1.112,1.036,1.0025,1.11
Cons-Cyc,ALSN,1.009946,23.88548,1.005,1.015,1.0185,0.99,1.0108,0.9965,1.0045,1.002857,1.0215,0.9795001,1.073,1.0022
SemiCond,AMCC,1.008031,9.769181,0.9886667,0.9744667,0.9817368,1.017474,0.9968182,1.1358,1.065,0.9416,1.013615,0.948,1.0102,1.023
SemiCond,AMKR,1.007081,4.498853,1.007048,0.9581177,0.9818,1.032545,1.005955,0.9733636,0.9893158,0.99575,1.014231,1.050444,1.0194,1.057
Energy,ANR,0.9853852,6.916864,0.9976,0.9873636,0.93425,1.028143,0.9558,0.9851667,0.9422,1.057889,0.99,1.037222,0.9704167,0.9385714
Energy,ANW,1.021154,8.959317,1.021526,1.017938,1.015,1.0565,1.153625,0.9524167,1.008429,0.9699166,1.051625,0.9686667,1.0446,0.9936
Services,APOG,1.007913,28.62044,1.029,1.04125,0.9822,0.9505,1.005,1,1.002,0.994,1.033,1.029,0.975,1.054
Energy,ARP,0.9965284,21.92329,1.027,1.019,1.01925,0.979,0.9825,0.912,1.009182,0.9959167,1.004778,0.9966667,0.9833333,1.029714
Services,ARR,0.9932764,5.117333,1.001222,1.001444,0.99525,1.0011,0.9472857,0.9818333,0.9997143,0.980875,0.9972222,1.011154,0.9786316,1.023583
BasicInd,ASH,1.014316,86.51785,1.0215,1.005,1.0185,1.076,1.0055,0.9925,1.007333,1.011,0.976,1.012,1.015455,1.031
Energy,ATLS,0.9993823,47.61457,1.00875,1.004,1.006667,1.022625,0.9851818,1.015286,1.025625,0.9790667,1.020182,0.9515,0.9684545,1.00525
Util,ATO,1.002562,41.90719,1.015,0.998,1.0015,1.0165,0.9905,1.04325,0.995,0.9709091,0.9943333,1.011875,0.9991667,0.9947143
Banks,BAC,1.012446,13.51465,0.99645,1.002632,1.012,1.013278,1.041,1.0082,1.030688,0.9883077,0.9816667,1.008133,1.04025,1.02675
Cons-NonCyc,BDBD,1.00288,12.99747,0.984,0.8253334,0.9998571,1.007,1.0126,1.046,1.055857,1.014,0.99475,0.9825,1.069,1.043667
Cons-Cyc,BDE,1.01667,10.45963,1.017,1.02675,1.027,1.016625,0.9916363,1.00575,1.0275,0.983,1.076333,0.9954444,0.996,1.037
InvServ,BGCP,1.017338,5.40408,1.015462,1.003,1.13375,1.020071,0.9945294,1.0125,1.000647,0.9730769,0.98825,0.9958947,1.0515,1.019375
Banks,BKMU,1.011231,5.920609,1.030545,1.0361,0.93675,0.9934,1.0225,0.9985,1.063,0.9809999,0.9932,0.967,1.099,1.013778
BasicInd,BLL,1.004295,45.61477,0.9956363,0.9878889,1.0185,0.9955,0.9926364,0.9941176,1.036375,1.001889,1.013,1.012,1.001,1.003
Banks,BNCL,1.003439,9.492861,0.9961818,1.00625,1.006,0.92825,1.004,0.9941667,1.029,1.013286,1.0338,0.996,1.015333,1.019
Banks,BPFH,1.015212,10.31108,0.9910715,1.0175,1.036375,1.0106,1.001,1.093,0.99,1.008667,1.039,0.9943333,0.969,1.032
Tech,BRCD,1.013772,6.825163,1.011545,1.02625,0.9612,1.0168,0.979,1.02675,1.0466,1.058,1.017875,0.995,1.03075,0.9955
Banks,BUSE,1.013463,4.90338,0.993,1.028,0.9912,0.9909375,1.0292,1.0326,1.017667,0.991625,1.0268,1.013857,1.043667,1.003
Services,BYD,0.9970444,10.72767,0.9925,0.9405,1.0565,0.998,1.012,0.9892,1.03,1.0095,1.007,0.947,0.9913333,0.991
Banks,C,1.004997,47.55389,0.9998182,0.9951818,0.9672,1.0216,1.027308,0.9951428,1.021105,0.9972727,0.9985455,1.006182,1.022727,1.007875
BasicInd,CAS,1.000344,16.28569,1.0315,0.980125,1.016714,1.011,0.9923334,1.00475,1.0392,0.98225,0.99525,1.005,0.975,0.971
Double Diamond,CAT,0.9980389,87.41581,1.006077,0.9745454,0.9782857,0.9972,0.9984,0.9854,1.009625,1.0096,1.002333,1.001,1.002,1.012
SemiCond,CAVM,1.000249,36.02247,1.01575,1.069,1.009,0.907,0.9791111,1.0262,0.9979091,1.026937,1.013471,0.9885333,0.9775,0.9925714
Services,CBZ,1.013754,7.14683,1.04,1.01,0.9833333,1.022143,0.9910001,1.009333,1.012667,0.9791111,1.049667,1.0308,1.0485,0.9885
Services,CCI,1.000975,71.58774,1.000333,1.0269,1.00175,1.039,0.9765,0.9645,0.982,1.004045,1.014091,1.013667,1.00325,0.9856667
Services,CCL,1.000032,35.49507,1.0086,0.959,0.9805,0.9943333,0.9986666,1.013833,1.0129,1.0011,0.9735,1.033286,1.012667,1.012
Insurance,CEF,0.9982615,16.23196,1.01025,0.9745,1.00275,1.006667,0.9886667,1.009,0.986,1.021867,0.9910769,0.9881111,0.97925,1.021
Banks,CFNL,1.006394,16.48993,0.98625,0.9923334,1.00025,1.024,1.0025,1.017,1.01475,1.024,1.019,1.02,0.9704,1.00625
ETFs,CHKR,1.006528,14.94312,1.014286,1.004125,1.03475,1.017714,1.018727,1.022,1.015357,0.9561818,0.9885556,1.003636,1.013,0.99
Transp,CHRW,0.9981277,58.68439,1.0268,0.983,0.995,1.016571,0.9798,1.00225,1.012444,1.00475,0.969,1.002,0.98475,1.001167
Insurance,CI,1.019503,71.93184,1.013571,1.008,1.033,1.016,1.0085,1.0185,1.0375,1.004,1.006,1.042333,1.0378,1.008833
Energy,CLD,0.997744,17.24787,0.9758125,0.9929166,0.9793333,1.023111,1.002,0.9365,0.9932857,0.996,0.9787857,1.0276,1.03925,1.028333
InvServ,CLMS,0.9987088,10.6092,0.9986,1.023533,1.00725,0.9905,0.9523333,0.9995,0.9974286,0.98575,0.9981111,0.9875,1.012,1.032
Util,CMS,0.9990139,27.16417,1.0115,1.017,1.01,0.976,0.9803333,1.01,1.011333,0.954,0.9946666,1.036,0.999,0.9883333
Transp,CNI,1.002001,95.25298,1.011636,1.008,0.9926471,1.000556,1,0.9665,1.0145,0.9926667,1.0088,1.01675,1.004625,1.007333
Insurance,CNO,1.01574,13.38733,1.0119,1.045333,0.9933846,1.008667,1.027286,1.028,1.0265,0.9947333,1.000687,1.024071,1.017857,1.010455
Transp,CNW,1.004574,38.45407,1.042,1.039833,0.98675,1.003667,1.0628,1.001,1.006,0.9913333,0.996,0.92,0.9945,1.011
Banks,COF,1.007887,63.83369,0.979,0.9686,1.0075,1.031444,1.010389,1.0168,1.0254,0.9905,1.04,0.9968,1.003538,1.024667
Transp,CPA,1.012904,131.9953,1.086,1.021,1.012,1.017,0.961,1.021333,1.020333,0.97325,1.008176,1.0205,0.9977,1.016556
Energy,CRK,1.008927,16.20684,0.9754,1.014625,0.9213334,1.008,1.0387,1.057,1.028667,0.9858571,1.043467,1.004905,0.9906667,1.0385
Energy,CRR,1.011325,90.24494,1.0365,1.042,0.968,0.9427143,0.9842,1.038778,1.0905,0.9985555,1.029778,1.027125,0.998,0.97975
SemiCond,CSIQ,1.05406,11.19071,1.07255,0.9422105,0.9772143,1.166769,1.1382,1.066154,1.075667,0.9568889,1.058857,1.088579,1.016625,1.089
Transp,CSX,1.007992,24.97978,1.0188,1.01775,1.009692,1.018667,1.000588,0.9844211,1.025773,0.9965238,0.9991111,1.00687,1.011211,1.0065
Cons-Cyc,CVGI,0.997553,7.653356,1.005308,1.005,0.9503333,1.0055,1.0361,0.9718333,0.9911111,0.9965,1.0062,0.9775,1.00775,1.0175
Services,CWST,1.000749,4.866863,0.9847143,0.959,1.005667,0.9684445,1.00325,1.046,1.016312,1.0275,1.0107,0.9971666,0.9804,1.009833
Energy,CXO,1.013155,95.1554,1.031,1.018571,1.025364,0.9732353,1.01,1.0005,1.009286,1.025,1.038917,1.0344,0.9845833,1.007
Transp,DAL,1.022482,20.36549,1.028667,1.054,0.99,1.051357,1.014091,1.015563,1.033176,0.9721667,1.0463,1.032667,1.0058,1.026
Transp,DCIX,1.004301,4.871039,1.0383,0.9543333,0.9896,1.0445,1.0005,0.9035,0.982,1.035,1.039,1.036714,0.993,1.035167
Cons-NonCyc,DMND,1.013776,19.64862,1.006769,1.0456,0.97175,0.998,1.0585,1.139125,0.998,0.9961666,0.9572857,1.013,0.9921111,0.989
BasicInd,DOW,1.002499,35.96843,0.9918947,0.991,0.9887647,1.009571,0.9972941,0.9874,1.0292,1.007917,1.012818,0.9814546,0.9967857,1.035882
Util,DPM,1.008508,48.13952,1.036125,0.9824286,1.035,1.0122,0.9995,1.078625,0.9748333,0.9987778,0.9935,0.9964445,0.9956667,0.999
Util,DYN,1.001545,21.28876,1.000143,0.9967778,1.037857,0.9854286,1.003769,0.9660833,0.9846,1.004,1.006111,1.005667,1.018182,1.009917
Transp,ECHO,0.9986119,19.74343,1.0124,1.05,1.03925,0.9296666,0.992625,1.0155,1.049917,0.9948182,0.9865,0.918,0.9966667,0.998
Energy,EGY,0.9893513,6.578427,0.985,0.9563333,0.9688,0.983,0.9465,1.06,0.9958,0.9887778,0.9841429,0.97175,1.005,1.027111
Util,EIX,1.001438,47.94126,1.015714,1.028,1.0052,1.0165,0.9711334,0.9875,1.0234,0.984,0.985,1.015667,0.9824286,1.002714
Tech,EMC,0.9991654,24.52025,1.005,0.9951429,0.9745,0.9962308,1.016188,0.9958947,1.022333,1.0045,0.9865,0.9850953,1.0006,1.008
SemiCond,EMKR,0.9785219,4.75893,1.069824,0.9876,0.9724666,0.9626667,0.828,1.001556,1.0325,0.94025,0.9804,1.021,0.9573333,0.9886667
Health,ENDP,1.01066,41.64216,1.030333,0.9625714,0.991,1.00925,1.027,1.014,1.00825,1.044333,1.016818,1.008714,1.02625,0.9894
SemiCond,ENPH,1.009529,6.70979,1.015111,1.073,1.024333,1.014667,1.008467,1.08025,0.9733846,0.962,1.02325,1.033,0.9338889,0.973
Energy,EOG,1.008731,146.1991,1.0245,1.01925,1.012833,1.028,1.019923,1.009429,1.018,0.985,1.014333,1.0105,0.9691666,0.9938333
Energy,EOX,1.000731,6.917241,1.0664,0.968,1.012417,1.018,0.99,1.025778,1.011,0.9696667,1.002333,0.983,0.9724,0.9897778
Util,EPD,1.011316,59.37043,1.023,1.017143,1.0225,1.0102,0.967,1.011071,1.013,0.9952727,1.0056,1.025667,1.011333,1.034
Energy,ERII,1.03206,4.722097,0.988375,1.101667,0.998,1.167,1.0425,1.002222,1.0108,1.0335,1.056333,0.9708125,1.000889,1.012625
Util,ETP,1.008021,50.50072,1.009083,1.012,1.019667,0.9971875,1.006579,1.011947,1.013,1.000545,1.005538,1.002,1.007375,1.011333
Double Diamond,EXP,0.9902881,69.27709,1.001,0.892,0.985,1.019333,0.9783333,0.9833333,0.9929333,0.9895,1.025857,1.010667,1.005,1.0005
Services,EXPE,1.006311,58.90134,1.0284,1.006,0.985,1.031833,0.99675,1.0335,0.9441,0.976,1.016,1.01475,1.0304,1.013
Cons-Cyc,F,1.004609,15.33047,0.9981579,0.9925,0.9965,1.0304,1.04225,1.009923,1.010077,1.008176,0.99865,1.00175,0.9937273,0.9732
Tech,FB,1.008198,35.55803,0.9914545,0.9896,0.9748333,1.003429,0.9607895,1.009647,1.099533,1.008692,1.032,0.9737778,0.9958333,1.058786
Banks,FBC,0.9962684,15.12673,0.9550833,0.963375,1.026333,0.9865,0.9946667,1.0305,1.01,0.960375,1.006375,0.9898,1.011667,1.020545
Banks,FBP,1.012927,6.197842,1.037,1.0508,1.000286,1.021333,1.013364,1.031273,1.022455,1.008667,0.9652778,1.001375,1.031125,0.9721667
Banks,FCF,1.004765,7.70513,0.992,1.031,0.97675,1.004,0.9843333,1.033,0.988,0.9926667,1.000429,1.0395,1.0135,1.002
Cons-Cyc,FDML,1.024994,13.03243,1.0422,0.933,0.9555,1.118833,1.034778,1.0068,1.152083,0.987,1.0084,1.093833,0.9675,1
Transp,FDX,1.011054,110.7847,1.021333,0.994,0.9897143,0.9985555,1.025,1.005111,1.034667,0.9975384,1.016833,1.036,1.00975,1.00415
Cons-NonCyc,FHCO,1.003145,8.566504,0.996,0.9985,0.98975,1.0362,1.0549,0.9945,0.981,0.977,1.01675,1.005333,0.9885,0.9993077
Banks,FMBI,1.009669,14.59057,1,1.003222,1.014176,0.9968462,1.003737,1.010273,1.019619,0.9907059,1.003917,1.026,1.0252,1.022333
SemiCond,FORM,1.015957,5.815399,1.02125,1.03275,1.012,1.049167,1.0723,1.024786,1.014667,1.045,1.000857,0.901375,0.9908333,1.0265
Banks,FRC,1.005755,42.604,1.018667,1.006667,1.0036,0.9994546,1.001143,1.0056,1.0376,1.031667,1.01,0.971,0.994,0.9896667
SemiCond,FSL,1.011117,15.18253,1.144714,1.039375,0.9685714,1.029429,1.022083,0.9216666,0.99275,0.9928125,1.013947,1.011143,0.9843077,1.0126
Health,FVE,1.003799,5.541208,1.007,1.045917,0.9997059,0.9436471,1.026118,1.021,1.0133,0.9875,0.9987143,1.0074,0.9718571,1.023429
InvServ,FXCM,1.02046,15.70981,1.056375,0.9968,1.0248,1.0605,1.014308,1.034158,1.01275,1.05,0.9925,0.9483333,1.017,1.038
Energy,FXEN,0.9848788,3.57098,0.9876667,0.979,0.94825,0.9382857,1.0113,0.924,1.07425,0.9827778,0.9741667,1.001875,0.9683077,1.028667
ETFs,GAIN,1.000796,7.340931,1.008455,1.0064,0.9863333,1.0028,1.000364,0.99885,1.004231,0.98175,0.9901111,1.000923,1.015,1.014333
ETFs,GCAP,0.9991027,7.062888,0.966,0.9968572,1.016333,0.9472727,1.038059,1.033429,1.004778,1.035923,1.089154,0.9777273,0.9302,0.9535
Banks,GDOT,1.013058,19.93437,1.025,1.015533,1.033818,1.019625,0.9924,1.025727,1.074455,1.025636,1.021455,0.924,0.9708,1.02825
InvServ,GFIG,1.005117,3.780319,1.025333,0.9688572,1.0117,1.0415,1.005632,0.9852,1.008263,1.009067,0.975625,0.9892,1.034667,1.006364
Insurance,GNW,1.016749,11.80883,1.055429,1.011421,1.010214,1.02495,1.002,1.0294,1.0225,0.9891579,1.0115,1.023182,1.014357,1.006882
BasicInd,GSM,1.005174,14.378,0.9933333,0.9680001,0.9815,1.0032,0.99,0.9848462,1.020813,1.0368,1.0586,1.029667,0.9743333,1.021
SemiCond,GTAT,1.005899,5.586426,0.970875,0.90475,1.022,1.020353,1.050313,0.9218,1.050833,1.061091,1.087,1.0587,1.003077,0.92
Transp,GWR,1.001785,90.46404,1.00125,1.002,0.962,1.029286,1.034,1.009833,0.998,1.0035,0.9882,1.022182,0.9846666,0.9865
Energy,GY,1.014163,14.95157,1.035,1.0395,1.025,0.998,0.981,1.0465,1.005091,0.981,1.02575,0.99225,1.029667,1.0112
Transp,HA,1.001374,6.95642,0.9147273,0.985875,0.9715,1.022769,1.015944,1.004333,1.062091,0.9991,1.008687,1.020833,0.968,1.042625
Banks,HAFC,1.005371,17.21159,1.029143,1.004,0.9728,1.0158,1.008,1.029333,0.9985,0.9755715,1.003,1.008667,1.003,1.016643
Insurance,HCI,1.010903,33.56241,0.9984546,1.015714,1.044,1.009,1.025,0.9865,1.047,0.9758334,1.024714,1.003286,1.034,0.9673333
Double Diamond,HCLP,1.027708,23.60337,1.03,1.0261,1.014214,0.9862728,1.060357,1.006889,0.9925,1.042,1.06225,1.073778,0.9963334,1.0418
Services,HHS,1.002407,8.22582,1.0422,0.9836,0.99275,1.015,1.030545,1.007429,1.0179,0.955,1.002733,1.027125,0.959,0.9956
Cons-Cyc,HLF,1.031349,54.85428,1.016316,1.0326,0.9931667,1.056167,0.9955714,1.063125,1.132,1.00475,1.020833,0.9876364,1.038778,1.03525
Insurance,HMN,1.018525,24.80394,1.013222,0.9895294,1.006462,1.0123,1.015,1.01675,1.026,0.978375,1.016667,1.065,1.056,1.027
Energy,HNR,0.9886348,4.914272,0.973375,1.0098,0.8485556,0.996125,1.0215,1.050333,1.077,0.9578571,0.996,0.996,0.878,1.059071
Insurance,HNT,1.008184,29.93069,1.025727,0.9853333,1.025474,1.008591,1.013235,1.016692,1.007857,1.0065,1.0286,0.9802,1.024,0.976
Tech,HPQ,1.015843,22.98748,1.075,1.0676,1.017571,0.9825556,1.0254,1.009471,1.0128,0.9481539,0.9873889,1.04035,1.020158,1.003667
ETFs,HRG,1.008263,9.238873,1.021312,1.005312,0.9903158,1.030895,0.9849091,0.97535,1.018737,1.034222,1.018588,1.008143,1.022368,0.989
BasicInd,HSC,1.003513,24.89757,1.012462,1.010833,1.001647,0.9778572,1.017167,1.028,1.0302,0.948,0.9802222,1.037769,0.9844444,1.013556
Services,HST,1.007746,17.45098,1,1.001947,1.0111,1.014318,0.9869524,0.967,1.024429,1.053,0.996,0.9932,0.99,1.055
ETFs,HTGC,1.006144,14.11798,1.017286,1.003,1.01,1.027889,1.007765,1.004158,1.0031,1.0052,1.012,0.973,1.019,0.9913334
Banks,HTH,1.021346,16.71367,1.019,0.9649166,1.021813,1.008533,1.072667,1.057,1.014333,1.0013,1.0186,0.9806,1.087824,1.009571
BasicInd,HUN,1.017544,19.49372,1.0221,1.089571,0.9867647,1.0185,1.000167,0.9793889,1.014333,1.004,1.0605,1.018,1.003,1.0142
Insurance,HW,1.008143,9.63067,1.053,1.064333,0.932,1.048333,0.96975,1.02725,0.9798334,0.9923334,0.9958823,0.9925,1.0555,0.987
Health,HWAY,1.012369,14.23663,1.0038,1.0605,0.971,1.0505,0.9984,0.9765,1.028,1.073,0.9964,0.908,1.084,0.9983333
SemiCond,IDTI,1.010542,8.505366,1.007667,0.9759333,1.021059,0.9972857,1.016375,1.005833,0.998,1.0106,1.001818,1.016429,1.0455,1.03
SemiCond,IMOS,1.005416,16.13129,0.9545,0.987,1.026867,1.045526,1.049062,1.034444,0.950375,1.0034,1.024,0.982,1.059572,0.94825
ETFs,INN,0.999625,9.49213,0.991,1.002,0.9915,1.006,0.982375,0.9980834,1.014667,1.005364,0.9964285,1.001333,0.9983333,1.008417
SemiCond,IPG,1.005365,15.01043,0.997,1.033,0.97,1.0225,0.9944444,1.022,1.028706,1.010667,1.013333,0.9704,1,1.002333
SemiCond,IPHI,1.014642,11.21351,1.042571,1.050889,0.9886,1.076167,0.993125,0.9803333,1.007833,1.031133,1.003444,1.00025,0.966,1.035364
Banks,ISBC,1.001202,21.03946,0.9952,0.994,0.984,1.012545,1.0058,1.037,1.00775,0.959,1.018,0.9918,1.011,0.9983333
SemiCond,ISIL,1.002138,9.314888,1.000533,1.0205,0.986,0.9683334,1.0174,1.004833,1.05725,1.007,1.00475,0.9878,0.97625,0.995
